"OCID","CONTRACT_TITLE","CONTRACT_TYPE","PROCUREMENT_METHOD","BUYER_NAME","SUPPLIER_NAMES","CONTRACT_START_DATE","CONTRACT_AMOUNT","CONTRACT_CURRENCY","País"
"42","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","6773.17192244523","USD","México"
"43","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1411.07748384276","USD","México"
"44","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","846.646490305653","USD","México"
"45","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1128.8619870742","USD","México"
"46","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","564.430993537102","USD","México"
"47","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1975.50847737986","USD","México"
"48","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","5926.52543213957","USD","México"
"49","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1411.07748384276","USD","México"
"50","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1693.29298061131","USD","México"
"51","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","564.430993537102","USD","México"
"52","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","2822.15496768551","USD","México"
"53","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","846.646490305653","USD","México"
"54","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","7337.60291598233","USD","México"
"55","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","282.215496768551","USD","México"
"56","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","846.646490305653","USD","México"
"57","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","282.215496768551","USD","México"
"58","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","2257.72397414841","USD","México"
"59","Etravirina 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","9313.11139336219","USD","México"
"60","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","935.702909335957","USD","México"
"61","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1871.40581867191","USD","México"
"62","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1351.57086904083","USD","México"
"63","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","3326.94367763896","USD","México"
"64","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1351.57086904083","USD","México"
"65","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","415.86795970487","USD","México"
"66","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","12268.1048112937","USD","México"
"67","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","14035.5436400394","USD","México"
"68","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1039.66989926217","USD","México"
"69","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","6965.78832505657","USD","México"
"70","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","2183.30678845057","USD","México"
"71","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1351.57086904083","USD","México"
"72","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","2183.30678845057","USD","México"
"73","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","831.735919409739","USD","México"
"74","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1663.47183881948","USD","México"
"75","Tenofovir disoproxil fumarate 300 MG/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","FARMACEUTICOS MAYPO, S.A. DE C.V.","2018-01-18","1247.60387911461","USD","México"
"76","Atazanavir (sulfato) 300 mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2080.25465314442","USD","México"
"77","Atazanavir (sulfato) 300 mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","35364.3291034552","USD","México"
"78","Atazanavir (sulfato) 300 mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","138.683643542961","USD","México"
"79","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","980.038011753746","USD","México"
"80","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","801.849282343974","USD","México"
"81","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","623.660552934202","USD","México"
"82","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","534.566188229316","USD","México"
"83","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","445.47182352443","USD","México"
"84","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","890.94364704886","USD","México"
"85","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","356.377458819544","USD","México"
"86","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","712.754917639088","USD","México"
"87","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","801.849282343974","USD","México"
"88","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2316.45348232704","USD","México"
"89","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2138.26475291726","USD","México"
"90","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","712.754917639088","USD","México"
"91","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","3385.58585878567","USD","México"
"92","Lopinavir + Ritonavir 80mg+20mg/ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","5612.94497640782","USD","México"
"93","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","813.919125683808","USD","México"
"94","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","1248.00932604851","USD","México"
"95","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","560.699842137734","USD","México"
"96","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2007.66717668673","USD","México"
"97","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","361.741833637248","USD","México"
"98","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","1157.57386763919","USD","México"
"99","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","4051.50853673718","USD","México"
"100","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","832.00621736567","USD","México"
"101","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","1085.22550091174","USD","México"
"102","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2893.93466909798","USD","México"
"103","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","1049.05131754802","USD","México"
"104","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","669.222392228909","USD","México"
"105","Ritonavir 100mg","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","12787.5738190767","USD","México"
"106","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","434.088121149652","USD","México"
"107","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","260.452872689791","USD","México"
"108","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","173.635248459861","USD","México"
"109","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","1389.08198767889","USD","México"
"110","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","173.635248459861","USD","México"
"111","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","911.585054414269","USD","México"
"112","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","130.226436344896","USD","México"
"113","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","1475.89961190882","USD","México"
"114","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","2127.03179363329","USD","México"
"115","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","1345.67317556392","USD","México"
"116","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","3776.56665400197","USD","México"
"117","Lamivudina 10 mg solucion oral frasco 100 ml","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","RALCA, S.A. DE C.V.","2018-01-18","4992.013393221","USD","México"
"118","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2294.32231738144","USD","México"
"119","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","1577.34659319974","USD","México"
"120","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","215.09271725451","USD","México"
"121","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","11328.2164420709","USD","México"
"122","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","5018.8300692719","USD","México"
"123","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","4803.73735201739","USD","México"
"124","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","7671.64024874419","USD","México"
"125","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","2796.20532430863","USD","México"
"126","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","35777.0886366668","USD","México"
"127","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","4875.43492443556","USD","México"
"128","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","8890.49897985308","USD","México"
"129","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","5018.8300692719","USD","México"
"130","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","5018.8300692719","USD","México"
"131","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","14984.7926353975","USD","México"
"132","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","43018.543450902","USD","México"
"133","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","12116.8897386707","USD","México"
"134","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","11901.7970214162","USD","México"
"135","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","215.09271725451","USD","México"
"136","Abacavir+Lamivudina 600 + 300mg/tab","ADJUDICACIÓN DIRECTA","Compra Directa","CENSIDA","GRUPO FARMACOS ESPECIALIZADOS, S.A. DE C.V.","2018-01-18","4086.76162783569","USD","México"
