OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,País
1,Abacavir 300mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,15/12/2017,," 3.391,61 ",USD,Bolivia
2,Abacavir 300mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,19/06/2017,," 350,01 ",USD,Bolivia
41,Abacavir 300mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 326,66 ",USD,Bolivia
42,Abacavir 300mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,01/11/2018,," 6.567,87 ",USD,Bolivia
3,Atazanavir (sulfato) 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,22/03/2017,," 841,91 ",USD,Bolivia
4,Atazanavir (sulfato) 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,28/11/2017,," 526,19 ",USD,Bolivia
43,Atazanavir (sulfato) 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,09/11/2018,," 2.586,03 ",USD,Bolivia
5,Atazanavir + Ritonavir 300mg + 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,05/12/2017,," 4.675,83 ",USD,Bolivia
6,Atazanavir + Ritonavir 300mg + 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,13/12/2017,," 170.877,57 ",USD,Bolivia
44,Atazanavir + Ritonavir 300mg + 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 12.106,37 ",USD,Bolivia
45,Atazanavir + Ritonavir 300mg + 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,09/11/2018,," 123.997,47 ",USD,Bolivia
37,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,21/07/2017,," 1.406,69 ",USD,Bolivia
38,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,13/11/2017,," 40.950,18 ",USD,Bolivia
39,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,05/12/2017,," 430,09 ",USD,Bolivia
77,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,08/10/2018,," 31.155,19 ",USD,Bolivia
78,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,25/01/2018,," 6.451,35 ",USD,Bolivia
90,Zidovudina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,04/12/2019,," 3.115,07 ",USD,Bolivia
36,Zidovudina + Lamivudina 300 mg +150 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,28/11/2017,," 64.758,32 ",USD,Bolivia
76,Zidovudina + Lamivudina 300 mg +150 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,STRIDES,08/10/2018,," 40.932,85 ",USD,Bolivia
89,Zidovudina + Lamivudina 300 mg +150 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,STRIDES,04/12/2019,," 57.521,85 ",USD,Bolivia
7,Darunavir 600mg,,Donacion,Ministerio de Salud,AID FOR AIDS,08/02/2017,," 115,77 ",USD,Bolivia
8,Darunavir 600mg,,Donacion,Ministerio de Salud,AID FOR AIDS,05/04/2017,," 93,08 ",USD,Bolivia
9,Darunavir 600mg,,Donacion,Ministerio de Salud,AID FOR AIDS,07/06/2017,," 1.389,29 ",USD,Bolivia
10,Darunavir 600mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,22/03/2017,," 1.856,79 ",USD,Bolivia
46,Darunavir 600mg,,Donacion,Ministerio de Salud,AID FOR AIDS,23/10/2018,," 208,39 ",USD,Bolivia
47,Darunavir 600mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,09/11/2018,," 5.951,72 ",USD,Bolivia
48,Dolutegravir 50Mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,01/11/2018,," 4.230,74 ",USD,Bolivia
11,Efavirenz 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,22/03/2017,," 204,92 ",USD,Bolivia
12,Efavirenz 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,19/06/2017,," 138,58 ",USD,Bolivia
49,Efavirenz 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,29/01/2018,," 295,92 ",USD,Bolivia
50,Efavirenz 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,STRIDES,08/10/2018,," 26.686,11 ",USD,Bolivia
79,Efavirenz 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,STRIDES,04/12/2019,," 20.344,43 ",USD,Bolivia
13,Efavirenz 600mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,STRIDES,08/11/2017,," 5.646,16 ",USD,Bolivia
19,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,22/03/2017,," 5.547,44 ",USD,Bolivia
20,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,05/12/2017,," 10.239,07 ",USD,Bolivia
21,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,19/06/2017,," 6.436,58 ",USD,Bolivia
22,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,13/12/2017,," 26.910,56 ",USD,Bolivia
55,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 17.734,30 ",USD,Bolivia
56,Lopinavir + Ritonavir 200mg+50mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,09/11/2018,," 70.775,69 ",USD,Bolivia
57,Lopinavir + Ritonavir 80mg+20mg/ml,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,ABBVIE,26/01/2018,," 26.249,65 ",USD,Bolivia
58,Lopinavir + Ritonavir 80mg+20mg/ml,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,ABBVIE,19/12/2018,," 43.279,10 ",USD,Bolivia
23,Nevirapina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,13/12/2017,," 132,07 ",USD,Bolivia
59,Nevirapina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,29/01/2018,," 1.300,38 ",USD,Bolivia
60,Nevirapina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,01/11/2018,," 12.999,86 ",USD,Bolivia
81,Nevirapina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,17/05/2019,," 4.739,65 ",USD,Bolivia
82,Nevirapina 10mg/ml solucion oral,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,04/12/2019,," 10.358,99 ",USD,Bolivia
24,Nevirapina 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,13/11/2017,," 3.374,24 ",USD,Bolivia
61,Nevirapina 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,HETERO,10/08/2018,," 951,84 ",USD,Bolivia
62,Nevirapina 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,01/11/2018,," 9.850,77 ",USD,Bolivia
83,Nevirapina 200mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,04/12/2019,," 6.223,59 ",USD,Bolivia
25,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,08/02/2017,," 115,77 ",USD,Bolivia
26,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,05/04/2017,," 179,22 ",USD,Bolivia
27,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,07/06/2017,," 2.699,40 ",USD,Bolivia
28,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,28/09/2017,," 44,99 ",USD,Bolivia
29,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,28/11/2017,," 1.349,70 ",USD,Bolivia
63,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,29/01/2018,," 1.349,70 ",USD,Bolivia
64,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,26/03/2018,," 1.349,70 ",USD,Bolivia
65,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,24/04/2018,," 281,19 ",USD,Bolivia
66,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,25/06/2018,," 137,54 ",USD,Bolivia
67,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,09/08/2018,," 183,39 ",USD,Bolivia
68,Raltegravir (potasico) 400mg,,Donacion,Ministerio de Salud,AID FOR AIDS,23/10/2018,," 179,96 ",USD,Bolivia
69,Raltegravir (potasico) 400mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MERK SHARP- DOHME,21/11/2018,," 24.040,29 ",USD,Bolivia
30,Ritonavir 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,19/06/2017,," 94,56 ",USD,Bolivia
31,Ritonavir 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,13/12/2017,," 542,95 ",USD,Bolivia
70,Ritonavir 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 174,79 ",USD,Bolivia
71,Ritonavir 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,01/11/2018,," 1.173,08 ",USD,Bolivia
84,Ritonavir 100mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,04/12/2019,," 492,33 ",USD,Bolivia
35,Tenofovir disoproxilo 245 mg (Equiv. a 300  mg como fumarato),,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,20/10/2017,," 27.895,57 ",USD,Bolivia
73,Tenofovir disoproxilo 245 mg (Equiv. a 300  mg como fumarato),,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,CIPLA,08/10/2018,," 123.710,80 ",USD,Bolivia
74,Tenofovir disoproxilo 245 mg (Equiv. a 300  mg como fumarato),,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,18/07/2018,," 8.787,26 ",USD,Bolivia
85,Tenofovir disoproxilo + Dolutegravir + Lamivudina 300 mg + 50 mg + 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,10/01/2019,,559.561,USD,Bolivia
32,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,AUROBINDO,18/07/2017,," 52.163,53 ",USD,Bolivia
33,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,28/11/2017,," 22.906,71 ",USD,Bolivia
34,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,13/12/2017,,552.339,USD,Bolivia
72,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,25/10/2018,," 26.222,87 ",USD,Bolivia
86,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MACLEODS,10/01/2019,," 10.495,22 ",USD,Bolivia
87,Tenofovir disoproxilo + Efavirenz + Lamivudina 300 mg + 600 mg + 300 mg ,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,04/12/2019,," 47.734,73 ",USD,Bolivia
75,Tenofovir Disoproxilo 300 mg + Efavirenz 400 mg + Lamivudina 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,09/11/2018,," 169.894,65 ",USD,Bolivia
88,Tenofovir Disoproxilo 300 mg + Efavirenz 400 mg + Lamivudina 300 mg,,"Fondo Mundial: Licitacion Internacional con productores genericos
Estado Boliviano: Fondo Estrategico OMS",Ministerio de Salud,MYLAN,10/01/2019,," 521.220,74 ",USD,Bolivia
91,Lamivudina 10 mg solucion oral frasco 100 ml,,"Subasta inversa electrónica (Art.  79, 80)",MINISTERIO DE SALUD PUBLICA,OXIALFARM CIA LTDA,23/06/2017,," 51.792,97 ",USD,Ecuador
92,Lopinavir + Ritonavir 80mg+20mg/ml,,"Subasta inversa electrónica (Art. 77, 79, 80)",MINISTERIO DE SALUD PUBLICA,QUIFATEX S.A.,04/11/2019,," 26.147,31 ",USD,Ecuador
93,Abacavir+Lamivudina 600 + 300mg/tab,,Contratacion directa por terminacion unilateral,SERVICIO NACIONAL DE CONTRATACION PUBLICA SERCOP,OXIALFARM CIA LTDA,04/06/2017,," 1.508.226,57 ",USD,Ecuador
94,Zidovudina + Lamivudina 300 mg +150 mg,,Compra para PACIENTES AFILIADOS AL ISSFA QUE PADECEN DE ENFERMEDADES CRÓNICAS Y/O CATASTRÓFICAS,INSTITUTO DE SEGURIDAD DE LAS FUERZAS ARMADAS ISSFA,OXIALFARM CIA LTDA,04/09/2019,," 12.830,40 ",USD,Ecuador
95,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especalidades Carlos Andrade Marín,OXIALFARM CIA LTDA,30/09/2019,," 142.762,20 ",USD,Ecuador
96,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especialidades José Carrasco Arteaga,QUIFATEX S.A.,18/06/2019,," 6.490,94 ",USD,Ecuador
97,Lopinavir + Ritonavir 200mg+50mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo,OXIALFARM CIA LTDA,29/06/2019,," 136.057,88 ",USD,Ecuador
98,Zidovudina + Lamivudina 300 mg +150 mg,,,Hospital de Especialidades Carlos Andrade Marín,Acromax Laboratorio Quimico Farmaceutico S.A.,20/05/2019,," 13.770,00 ",USD,Ecuador
99,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Jose Carrasco Arteaga,Glaxosmithkline Ecuador S.A.,03/06/2019,," 15.000,00 ",USD,Ecuador
100,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Carlos Andrade Marín,OXIALFARM CIA LTDA,22/10/2019,," 57.459,81 ",USD,Ecuador
101,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hosptial de Especialidades Carlos Andrade marín,Acromax Laboratorio Quimico Farmaceutico S.A.,21/01/2020,," 40.230,00 ",USD,Ecuador
102,Zidovudina + Lamivudina 300 mg +150 mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo,Acromax Laboratorio Quimico Farmaceutico S.A.,15/01/2020,," 33.750,00 ",USD,Ecuador
103,Zidovudina 20ml,,Subasta inversa electronica,MiniSTERIO DE SALUD PUBLICA,Glaxosmithkline Ecuador S.A.,06/10/2019,," 26.465,40 ",USD,Ecuador
104,Emtricitabina+Tenofovir 300+200mg,,Subasta inversa electronica,Hospital de especialidades Carlos Andrade marín,Farmel Farmacos y Medicamentos CIA LTDA.,27/01/2020,," 94.802,40 ",USD,Ecuador
105,Emtricitabina+Tenofovir 300+200mg,,Subasta inversa electronica,Hospital de Especialidades Teodoro Maldonado Carbo, HELSINNPHARM CIA. LTDX,21/11/2019,," 101.500,00 ",USD,Ecuador
106,Abacavir+Lamivudina 600 + 300mg/tab,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,07/01/2019,,"218264,59",USD,Costa Rica
107,Abacavir+Lamivudina 600 + 300mg/tab,,Medicamentos Ley 6914 - CCSS,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),FARMACIAS EOS S.A.,23/09/2019,,243100,USD,Costa Rica
108,Abacavir+Lamivudina 600 + 300mg/tab,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,08/09/2017,,"332333,11",USD,Costa Rica
109,Abacavir+Lamivudina 600 + 300mg/tab,,Cantidad definida,Caja Costarriscence Seguro Social,FARMACIAS EOS S.A.,13/09/2019,,243100,USD,Costa Rica
126,COBICISTAT + ELVITEGRAVIR + TENOFOVIR ALAFENAMIDA + EMTRICITABINA,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS), COMERCIAL FARMACEUTICA LEISA SOCIEDAD ANONIMA,25/05/2018,,139,USD,Costa Rica
110,Darunavir 600mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,05/03/2017,,"45660,49",USD,Costa Rica
111,Darunavir 600mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD (LIBROS A TRAVES DEL PROGRAMA PALTEX),15/05/2019,,"33468,65",USD,Costa Rica
112,Dolutegravir 50Mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD (LIBROS A TRAVES DEL PROGRAMA PALTEX),02/06/2019,,"5883,29",USD,Costa Rica
113,Dolutegravir 50Mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD (LIBROS A TRAVES DEL PROGRAMA PALTEX),27/01/2020,,"24091,5",USD,Costa Rica
119,Efavirenz 600mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,12/05/2017,,"172182,57",USD,Costa Rica
120,Efavirenz 600mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),PHARMAHEALTH SOCIEDAD ANONIMA,23/08/2017,,76000,USD,Costa Rica
121,Efavirenz 600mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),SEVEN PHARMA LIMITADA,20/03/2017,,103200,USD,Costa Rica
114,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,08/09/2017,,"224172,1",USD,Costa Rica
115,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,27/11/2018,,"226797,59",USD,Costa Rica
116,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),STENDHAL COSTA RICA S.A.,26/02/2019,,566675,USD,Costa Rica
117,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),STENDHAL COSTA RICA S.A.,26/02/2019,,2500,USD,Costa Rica
118,Emtricitabina+Tenofovir +Efavirenz 200 mg + 300 mg +600 mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,16/05/2019,,"351777,25",USD,Costa Rica
122,Lamivudina 50 mg 5ml solucion oral frasco 240 ml,,Medicamentos Ley 6914 - CCSS,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),CHEMO CENTROAMERICANA S.A.,03/05/2018,,13520,USD,Costa Rica
123,Lopinavir + Ritonavir 200mg+50mg,,COMPRA POR REQUERIMIENTO DE MEDICAMENTOS,INSTITUTO NACIONAL DE SEGUROS (INS),CEFA CENTRAL FARMACEUTICA SOCIEDAD ANONIMA,27/06/2019,,23760,USD,Costa Rica
124,Lopinavir + Ritonavir 80mg+20mg/ml,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),CEFA CENTRAL FARMACEUTICA SOCIEDAD ANONIMA,20/12/2018,,108561,USD,Costa Rica
125,Raltegravir (potasico) 400mg,,Contratación Directa,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),DISTRIBUIDORA FARMANOVA S.A.,15/02/2019,,142500,USD,Costa Rica
127,Tenofovir disoproxil fumarate 300 MG/tab,,,CAJA COSTARRICENSE DE SEGURO SOCIAL (CCSS),ORGANIZACION PANAMERICANA DE LA SALUD,12/06/2017,,"120131,1",USD,Costa Rica
